seq,nome_completo,cpf,email,telefone_raw,nascimento_br,cep,logradouro,numero,bairro,cidade,uf
1,Ana Paula Ferreira,90010010001,geo01@caraguatatuba.demo,12970010001,14/03/1988,11660-010,Av. Arthur Costa e Silva,120,Centro,Caraguatatuba,SP
2,Bruno Henrique Silva,90010010002,geo02@caraguatatuba.demo,12970010002,22/07/1992,11660-050,Rua Frei Galvão,45,Centro,Caraguatatuba,SP
3,Carla Mendes Oliveira,90010010003,geo03@caraguatatuba.demo,12970010003,05/11/1975,11660-100,Rua Antonio Roberto de Oliveira,310,Centro,Caraguatatuba,SP
4,Daniel Costa Santos,90010010004,geo04@caraguatatuba.demo,12970010004,30/01/2001,11660-150,Rua Maria Vitória Penna Franco,88,Centro,Caraguatatuba,SP
5,Elena Rodrigues Lima,90010010005,geo05@caraguatatuba.demo,12970010005,18/09/1968,11660-200,Rua José Pereira da Costa,502,Centro,Caraguatatuba,SP
6,Felipe Augusto Rocha,90010010006,geo06@caraguatatuba.demo,12970010006,12/06/1985,11661-010,Rua das Orquídeas,15,Jardim Britânia,Caraguatatuba,SP
7,Gabriela Souza Martins,90010010007,geo07@caraguatatuba.demo,12970010007,25/12/1996,11661-100,Rua dos Coqueiros,220,Jardim Britânia,Caraguatatuba,SP
8,Henrique Alves Pinto,90010010008,geo08@caraguatatuba.demo,12970010008,03/04/1979,11661-200,Rua São João,67,Jardim Britânia,Caraguatatuba,SP
9,Isabela Campos Nunes,90010010009,geo09@caraguatatuba.demo,12970010009,17/08/2010,11662-010,Av. Marginal,1450,Martim de Sá,Caraguatatuba,SP
10,João Pedro Barbosa,90010010010,geo10@caraguatatuba.demo,12970010010,09/02/1983,11662-100,Rua das Pitangueiras,33,Martim de Sá,Caraguatatuba,SP
11,Karina Duarte Freitas,90010010011,geo11@caraguatatuba.demo,12970010011,21/05/1990,11663-010,Rua José Carij,190,Pegorelli,Caraguatatuba,SP
12,Lucas Mendonça Vieira,90010010012,geo12@caraguatatuba.demo,12970010012,11/10/1972,11663-100,Rua Manoel da Costa,74,Pegorelli,Caraguatatuba,SP
13,Mariana Teixeira Lopes,90010010013,geo13@caraguatatuba.demo,12970010013,28/07/2005,11664-010,Rua das Baleias,410,Golfinhos,Caraguatatuba,SP
